datetime,GISP2,EPICA Dome C CO2
-333153-12-19 11:30:16,,298.6
-332594-05-22 00:40:18,,288.4
-332400-10-10 11:00:59,,289.1
-332048-09-18 19:09:46,,282.4
-331550-03-08 20:02:31,,273.1
-330849-08-28 06:43:34,,272.6
-330194-02-26 07:11:04,,271.7
-329344-09-21 08:33:11,,265.0
-328104-12-10 00:52:03,,275.1
-327465-12-25 09:51:38,,271.9
-326821-07-10 09:00:39,,270.1
-326137-06-18 02:59:50,,266.1
-325486-06-06 20:08:12,,264.0
-324641-03-07 04:28:29,,266.2
-323873-04-09 01:36:21,,260.5
-323058-11-09 22:50:37,,260.3
-322217-05-07 08:49:09,,260.4
-321434-12-01 04:43:55,,257.2
-319868-10-24 22:56:59,,249.2
-318967-12-04 08:29:43,,255.8
-317880-08-08 17:55:02,,233.4
-316903-08-30 06:56:34,,245.2
-315983-09-17 08:58:57,,251.6
-315200-05-23 03:19:19,,272.6
-314501-07-17 05:19:14,,246.8
-313708-09-27 08:00:37,,257.1
-312886-01-19 09:41:49,,256.7
-312102-05-29 18:36:07,,251.6
-311393-02-17 05:25:44,,241.9
-310644-10-29 07:15:47,,239.0
-309720-03-23 22:46:32,,237.8
-308826-02-26 21:47:08,,233.2
-308061-04-12 00:27:10,,226.2
-307474-07-11 12:00:08,,227.8
-306376-07-21 09:23:56,,225.8
-305514-12-25 05:18:25,,244.8
-304631-02-17 15:02:33,,248.6
-303828-02-07 03:43:23,,250.2
-303150-06-10 13:09:28,,240.7
-302151-05-01 07:52:35,,240.2
-301166-04-01 16:11:26,,236.0
-300134-01-22 05:27:56,,239.0
-299076-08-17 15:53:25,,236.1
-298166-05-18 18:03:30,,231.0
-297427-12-19 05:31:32,,224.4
-296755-08-16 19:19:52,,217.1
-294879-05-17 20:38:09,,213.1
-293414-01-05 04:39:08,,212.7
-292506-12-14 10:30:43,,206.7
-291701-07-03 01:10:36,,206.0
-290869-12-07 14:42:05,,207.6
-289613-05-16 06:41:11,,217.1
-288914-06-13 19:04:41,,220.4
-288235-09-27 04:02:07,,234.9
-286337-10-22 10:16:51,,231.0
-285870-03-10 02:02:27,,230.4
-285494-05-18 13:08:50,,231.4
-284660-04-11 00:25:00,,226.4
-283982-11-30 23:35:43,,228.0
-282485-07-23 01:37:14,,231.3
-280643-05-05 11:55:24,,223.7
-279451-06-28 23:37:05,,215.3
-278609-04-13 05:09:01,,211.0
-277669-03-08 08:34:25,,204.5
-276641-04-27 11:18:56,,202.2
-275493-03-25 15:27:12,,193.2
-274308-07-03 22:00:51,,198.4
-273205-08-03 06:45:55,,194.1
-272214-02-22 14:15:48,,193.9
-271216-05-24 14:51:43,,190.4
-270200-08-02 02:08:29,,184.7
-269086-03-08 19:14:34,,198.8
-267991-10-02 04:44:24,,194.2
-267046-09-21 02:50:02,,187.2
-266308-05-22 07:56:26,,188.7
-265057-03-22 05:31:43,,211.7
-264185-10-09 07:27:42,,199.9
-262634-06-16 17:40:01,,228.1
-260867-02-12 12:27:24,,214.6
-260105-08-21 00:00:38,,208.9
-259344-04-18 03:09:10,,205.7
-258945-12-23 03:12:03,,209.6
-257447-04-24 21:17:42,,203.9
-255958-02-21 10:19:21,,204.0
-255111-08-14 21:19:46,,201.9
-254349-07-20 21:03:13,,199.0
-252637-02-06 03:54:05,,195.4
-251807-07-12 05:48:02,,196.7
-251004-06-27 02:49:23,,195.4
-250183-12-12 23:22:54,,213.9
-249441-08-21 11:03:20,,200.2
-247150-05-02 18:22:10,,214.7
-244921-09-18 10:02:39,,219.4
-244239-05-23 17:17:38,,230.4
-243614-03-15 16:46:16,,236.7
-243107-03-10 20:11:16,,249.9
-242633-11-11 08:32:08,,252.3
-242172-06-06 22:55:24,,263.7
-241189-09-06 08:19:49,,280.2
-240736-09-26 23:27:51,,279.0
-239906-10-18 22:00:45,,263.2
-239383-02-24 04:18:48,,259.7
-238241-10-30 03:15:01,,252.8
-237789-07-16 16:32:13,,247.4
-237437-02-27 03:37:24,,245.8
-237059-12-08 14:11:04,,245.6
-236476-11-09 13:45:54,,239.1
-235956-08-31 02:54:04,,243.1
-235442-07-15 03:06:35,,247.4
-234901-05-25 00:36:18,,241.4
-234476-03-09 06:12:42,,252.1
-234041-05-03 09:38:20,,245.2
-230906-02-17 15:30:45,,241.6
-230242-06-03 09:16:41,,233.9
-229180-07-12 18:40:48,,232.4
-227622-02-20 16:18:35,,224.5
-226817-03-14 13:32:20,,233.1
-226490-10-08 22:49:42,,234.5
-225770-03-17 19:10:05,,235.5
-224900-05-07 15:29:32,,215.7
-224310-05-10 04:41:07,,203.3
-222322-09-03 13:32:01,,205.6
-221179-02-21 19:38:59,,208.8
-220590-08-09 11:38:44,,207.1
-219748-09-21 05:53:45,,216.1
-218986-07-25 08:41:50,,214.1
-217118-07-27 10:36:40,,240.5
-216251-05-22 16:26:13,,245.3
-215745-03-22 03:30:39,,251.1
-215466-07-16 14:20:02,,251.7
-214915-03-17 12:27:08,,247.5
-214356-01-11 03:56:42,,242.6
-213963-11-02 04:40:20,,240.3
-213131-06-04 22:54:51,,241.4
-212209-05-14 08:20:24,,251.2
-211381-10-29 21:35:17,,243.4
-210583-02-04 13:08:08,,257.4
-210129-06-05 00:51:06,,239.5
-209628-05-02 12:07:36,,246.9
-209109-09-14 08:18:20,,252.0
-208882-02-08 04:19:01,,247.2
-208225-01-01 18:43:33,,243.9
-208016-01-31 14:51:36,,244.6
-207495-02-18 01:36:15,,242.2
-207133-11-29 15:09:40,,240.5
-206872-08-08 14:53:32,,230.0
-206325-08-22 17:06:38,,237.2
-206159-05-23 14:34:38,,238.1
-205673-04-14 03:20:40,,231.4
-205291-11-15 03:39:08,,229.4
-204947-04-27 14:02:54,,226.3
-204410-03-25 18:34:59,,228.6
-203995-08-03 18:34:32,,232.2
-203626-05-30 09:38:30,,231.9
-203254-11-21 19:34:57,,244.4
-201892-03-02 17:11:28,,247.6
-200795-09-01 00:42:25,,239.1
-199802-03-01 21:52:55,,250.9
-196988-03-01 11:01:07,,242.6
-196378-09-18 02:00:21,,241.2
-195638-10-24 20:02:15,,226.4
-193850-08-30 02:23:58,,220.0
-193177-08-30 02:23:39,,226.5
-191125-08-29 02:11:59,,218.0
-190014-01-29 08:01:00,,220.3
-189305-08-28 21:26:33,,231.4
-187857-08-28 14:20:04,,231.3
-186487-02-26 18:55:26,,210.7
-184461-02-26 11:35:51,,203.4
-182421-02-25 13:38:59,,199.7
-181308-02-25 03:15:49,,198.1
-180246-02-24 08:25:34,,217.7
-179352-02-24 21:02:35,,213.2
-177923-02-22 23:29:33,,207.7
-175780-08-24 15:09:59,,190.1
-175584-03-20 01:10:12,,189.4
-174903-02-22 10:03:36,,190.3
-173884-10-17 15:03:06,,196.0
-172492-02-23 08:39:01,,197.7
-169989-02-21 14:00:55,,197.8
-167565-09-27 19:39:33,,196.6
-166796-08-21 13:05:55,,183.8
-165964-01-14 21:50:10,,186.7
-164834-02-20 02:50:54,,190.1
-164193-02-20 08:50:04,,191.6
-162385-06-27 02:21:30,,196.5
-161908-02-18 19:00:56,,204.3
-158205-02-17 15:42:20,,187.5
-157766-02-17 23:30:43,,185.5
-156716-02-17 06:55:16,,189.0
-154357-04-23 09:05:37,,189.38
-152940-12-30 14:12:02,,196.3
-151825-06-20 01:33:32,,198.78
-149495-04-10 23:48:37,,202.35
-148645-03-30 21:41:28,,202.51
-147517-12-21 17:32:23,,201.78
-146284-08-26 11:37:34,,195.81
-144159-11-18 03:54:03,,193.59
-142850-07-13 08:46:59,,196.02
-141702-10-26 07:55:47,,194.59
-140411-07-23 01:06:19,,196.51
-138000-02-23 05:42:44,,192.75
-136885-10-26 00:02:46,,198.55
-135814-09-10 13:37:34,,199.18
-134616-07-24 05:46:11,,203.74
-132573-10-31 16:01:47,,212.43
-131826-04-20 00:17:19,,222.74
-130982-02-24 15:23:43,,224.63
-130760-03-24 15:05:44,,228.0
-130027-11-13 21:58:36,,232.28
-129373-11-28 22:09:40,,241.13
-128869-10-01 13:16:03,,250.84
-128423-01-28 20:40:07,,251.84
-127706-06-19 23:05:32,,260.61
-127128-01-24 20:32:55,,268.44
-126928-02-08 21:44:07,,271.08
-126517-05-18 01:33:13,,285.76
-126223-06-08 04:27:25,,280.72
-126075-08-17 10:15:05,,276.03
-125554-07-22 01:05:53,,276.88
-125364-04-10 19:05:49,,275.78
-125012-01-28 00:01:47,,274.93
-124750-03-12 06:52:23,,273.02
-124064-05-28 03:15:16,,275.15
-123343-06-22 07:52:09,,276.81
-122868-08-27 02:46:53,,275.52
-122455-08-01 13:50:56,,281.54
-122010-08-15 23:09:52,,275.87
-121681-03-12 14:15:59,,274.6
-121064-02-25 10:06:48,,279.16
-120343-09-27 12:57:02,,279.0
-120150-02-06 12:41:43,,278.25
-119892-02-17 23:21:52,,276.61
-119476-01-30 11:11:11,,279.48
-118593-03-11 12:06:09,,276.82
-118195-12-24 10:34:38,,268.73
-117766-08-07 13:14:49,,274.59
-117293-07-31 19:22:17,,267.74
-116709-10-29 13:28:57,,277.72
-115670-09-27 08:01:42,,274.98
-115236-07-19 01:15:59,,274.03
-114526-07-08 01:21:33,,273.63
-113959-07-07 09:12:00,,273.16
-113497-06-05 09:46:37,,276.96
-112866-09-15 12:03:47,,275.07
-112300-02-03 18:56:43,,267.9
-111729-06-15 13:43:48,,260.58
-111170-10-28 02:25:11,,264.75
-110992-05-13 04:49:08,,263.12
-110686-01-12 18:48:31,,256.79
-109927-04-16 13:48:46,,257.93
-109027-02-02 12:08:38,-40.35,
-108668-04-16 12:05:28,-40.46,
-108606-09-24 05:26:26,,246.69
-108309-08-04 00:37:11,-36.9,
-107950-10-16 00:34:01,-38.85,
-107890-02-13 20:14:19,,244.13
-107590-02-02 13:05:44,-37.45,
-107420-10-15 09:20:08,-38.13,
-107249-08-04 18:09:24,-37.92,
-107180-09-01 16:30:10,,244.44
-107078-04-16 14:23:48,-37.91,
-106907-02-01 23:13:04,-37.57,
-106543-04-16 04:13:44,-37.49,
-106452-03-07 00:57:06,,236.43
-106179-08-03 21:49:17,-38.44,
-105815-10-15 02:49:57,-38.63,
-105450-02-01 20:25:29,-38.89,
-105087-04-15 19:37:23,-38.78,
-105025-04-08 12:41:55,,240.34
-104724-08-02 07:24:10,-38.23,
-104419-11-02 11:45:04,,244.83
-104361-10-15 06:36:04,-38.42,
-104307-09-15 03:13:32,,241.4
-104040-03-20 19:59:14,,257.58
-103997-02-01 18:22:50,-38.23,
-103634-02-01 16:24:59,-37.78,
-103558-12-08 13:07:40,,248.78
-103271-02-01 14:27:08,-36.41,
-103017-08-21 00:05:35,,242.36
-102908-02-01 12:29:17,-37.33,
-102545-02-01 10:31:26,-36.9,
-102382-11-09 03:40:52,,238.88
-102325-10-03 10:25:40,,247.76
-102158-02-01 04:03:58,-37.81,
-101771-01-31 21:36:30,-38.13,
-101384-02-01 15:09:02,-38.69,
-101359-05-06 15:34:52,,240.68
-100997-02-01 08:41:34,-38.35,
-100815-04-21 19:05:45,,237.07
-100615-08-01 12:04:39,-39.03,
-100232-01-31 15:27:45,-38.28,
-100022-03-12 16:23:01,,240.07
-99850-08-01 18:50:50,-38.4,
-99467-01-30 22:13:55,-38.79,
-99376-05-27 20:15:15,,244.76
-99080-01-31 15:46:27,-39.07,
-98693-01-31 09:19:00,-38.44,
-98594-11-26 20:44:50,,247.87
-98313-01-30 10:10:10,-36.59,
-98127-03-26 06:13:00,,245.63
-97933-01-30 11:01:20,-36.57,
-97501-01-30 02:08:21,-36.71,
-97412-08-29 11:38:50,,242.99
-97069-01-30 17:15:22,-37.15,
-96634-05-12 08:14:21,,243.18
-96596-01-31 06:41:48,-37.23,
-96123-01-29 20:08:14,-37.6,
-95978-08-15 04:31:41,,239.86
-95627-07-31 14:10:41,-37.71,
-95321-03-11 06:13:08,,242.35
-95130-01-29 08:13:07,-38.02,
-94621-01-29 14:55:08,-38.39,
-94525-03-14 16:50:33,,245.76
-94112-01-29 21:37:09,-38.87,
-93972-08-06 17:37:47,,246.2
-93603-01-29 04:19:10,-38.81,
-93285-12-21 06:21:14,,242.91
-93094-01-29 11:01:11,-38.82,
-92619-07-11 20:42:06,,242.41
-92583-05-18 19:05:22,-39.0,
-92072-10-11 15:44:26,-39.19,
-91874-11-13 11:35:32,,238.21
-91560-01-28 23:48:36,-39.29,
-91475-05-14 11:58:53,,235.16
-91065-01-28 21:07:54,-39.64,
-90718-04-03 16:00:34,,232.46
-90570-01-28 18:27:11,-39.48,
-90075-01-28 15:46:29,-39.58,
-90000-05-02 18:50:38,,233.74
-89607-12-22 17:22:58,-39.53,
-89495-01-17 04:12:26,,231.12
-89138-10-10 06:24:35,-39.43,
-88884-01-21 19:28:06,,231.56
-88669-09-04 08:01:05,-39.15,
-88368-10-13 09:54:05,,229.74
-88206-01-27 07:50:35,-39.04,
-87750-01-27 18:28:00,-37.97,
-87747-10-24 18:36:23,,228.88
-87295-05-10 05:42:17,,227.38
-87294-01-28 05:05:24,-37.76,
-86836-10-09 19:24:29,-38.24,
-86751-01-08 11:08:02,,223.99
-86377-05-16 21:08:41,-38.34,
-86187-11-22 19:47:37,,217.8
-85918-01-26 11:27:45,-38.4,
-85632-11-22 05:52:53,,223.63
-85465-05-16 18:23:29,-38.75,
-85078-06-07 09:52:57,,221.06
-85012-10-08 13:54:06,-40.11,
-84558-01-26 20:49:50,-40.57,
-84549-10-02 09:53:54,,223.38
-84123-05-15 19:07:47,-40.09,
-83941-05-19 12:42:44,,228.76
-83688-10-09 06:00:37,-39.69,
-83418-08-07 13:16:12,,234.69
-83252-01-27 04:18:33,-39.31,
-82987-04-20 08:49:50,,238.42
-82835-01-26 04:14:05,-39.15,
-82418-01-26 04:09:36,-38.22,
-82408-08-18 03:08:34,,243.16
-82001-01-26 04:05:08,-38.41,
-81991-03-03 02:47:40,,250.79
-81607-10-08 06:23:10,-35.8,
-81605-12-17 03:30:58,,247.1
-81212-05-14 20:06:19,-36.39,
-81039-10-22 10:40:20,,246.32
-80817-01-25 22:24:21,-36.95,
-80577-05-08 07:53:55,,240.87
-80429-01-25 21:45:40,-36.72,
-80119-04-11 16:32:26,,238.89
-80041-01-25 21:06:58,-36.69,
-79762-08-21 15:23:32,,234.13
-79653-01-25 20:28:16,-36.62,
-79275-05-14 23:26:32,-36.95,
-79257-02-16 16:16:37,,230.33
-78897-10-08 14:59:41,-36.81,
-78772-04-10 22:20:34,,233.92
-78518-01-24 17:57:57,-37.05,
-78381-09-15 16:26:08,,230.6
-78148-10-07 00:45:36,-37.13,
-77928-04-21 07:17:44,,234.74
-77777-05-14 18:58:22,-37.26,
-77461-09-15 12:11:05,,229.26
-77406-01-24 01:46:01,-37.29,
-77079-10-06 22:36:43,-37.15,
-77020-07-10 13:46:13,,227.3
-76751-07-25 08:02:17,-37.33,
-76558-02-11 17:17:14,,224.14
-76423-04-07 04:52:59,-37.51,
-76131-04-25 04:30:10,,226.65
-76095-01-24 14:18:33,-37.65,
-75792-05-13 13:19:22,-37.99,
-75666-02-22 17:15:11,,224.92
-75489-10-07 00:55:02,-38.04,
-75185-01-23 23:55:50,-37.95,
-75107-07-31 19:32:58,,231.68
-74878-01-24 08:27:05,-38.58,
-74747-04-28 01:02:08,,238.01
-74571-01-23 16:58:19,-38.48,
-74298-08-05 09:44:21,,239.34
-74264-01-24 01:29:33,-38.72,
-73939-01-22 18:38:35,-38.85,
-73901-05-30 19:33:46,,249.94
-73614-01-23 11:47:36,-38.22,
-73596-12-06 14:40:50,,249.52
-73289-01-24 04:56:38,-38.22,
-73118-02-09 21:13:06,,243.27
-72969-05-13 06:46:28,-38.97,
-72649-10-05 21:11:10,-39.51,
-72576-05-30 17:29:02,,241.24
-72328-01-22 23:01:00,-38.89,
-72272-07-31 10:45:16,,231.33
-72001-05-12 17:32:11,-39.86,
-71801-02-06 04:58:45,,232.74
-71674-10-06 00:38:15,-42.05,
-71346-01-22 19:09:27,-41.91,
-71270-09-28 13:40:51,,230.89
-71074-10-05 08:18:00,-40.8,
-70916-01-08 08:00:59,,232.33
-70801-05-12 08:51:41,-36.64,
-70541-11-29 05:22:43,,232.79
-70528-01-22 22:00:14,-36.83,
-70225-01-22 07:16:24,-37.61,
-70143-04-01 13:25:30,,239.46
-69922-01-21 16:32:35,-37.67,
-69744-05-29 15:15:02,,237.56
-69619-01-22 01:48:45,-38.01,
-69330-11-21 05:19:40,,235.02
-69303-04-04 15:48:38,-38.19,
-68987-06-17 05:48:31,-38.43,
-68979-03-10 13:32:29,,225.17
-68671-08-28 19:48:24,-38.57,
-68478-10-19 16:53:07,,220.33
-68355-11-09 09:48:18,-39.26,
-68103-11-24 01:15:20,,215.55
-68038-01-21 23:48:11,-39.48,
-67728-04-04 02:55:28,-42.37,
-67642-01-14 14:20:38,,211.26
-67418-06-16 06:02:45,-43.26,
-67132-07-11 02:06:19,,205.42
-67108-08-27 09:10:03,-42.58,
-66798-11-09 12:17:20,-41.72,
-66670-01-24 23:19:53,,203.43
-66487-01-21 15:24:37,-36.45,
-66233-01-21 03:51:15,-36.86,
-66197-11-13 17:25:20,,200.17
-65979-01-20 16:17:52,-37.33,
-65780-05-17 18:05:58,,203.76
-65725-01-21 04:44:30,-37.69,
-65471-01-20 17:11:08,-37.88,
-65365-06-20 03:19:20,,201.14
-65217-01-21 05:37:45,-38.22,
-65010-05-06 06:57:30,,207.21
-64931-04-03 13:14:39,-38.54,
-64645-06-15 20:51:33,-40.27,
-64490-09-30 07:55:28,,204.39
-64359-08-27 04:28:27,-41.33,
-64073-11-09 12:05:21,-42.46,
-63988-10-28 03:12:01,,200.59
-63815-07-17 18:22:55,,198.17
-63786-01-20 19:42:15,-39.97,
-63597-08-09 11:30:53,,208.98
-63455-04-03 00:53:38,-40.94,
-63124-06-14 06:05:00,-41.67,
-63097-05-02 23:07:50,,199.17
-62918-08-19 21:21:38,,201.67
-62793-08-27 11:16:23,-42.08,
-62708-10-05 05:35:53,,203.7
-62462-11-08 16:27:46,-42.3,
-62164-04-10 00:29:49,,199.73
-62130-01-19 21:39:09,-41.87,
-61947-03-04 01:17:13,,197.24
-61877-06-15 06:36:31,-41.12,
-61624-11-07 15:33:53,-41.38,
-61606-04-06 12:21:54,,197.4
-61370-04-03 00:31:15,-40.92,
-61117-08-26 09:28:36,-41.84,
-61011-02-24 10:43:27,,200.15
-60863-01-19 18:25:58,-41.67,
-60825-06-26 00:37:04,,202.71
-60628-11-06 21:05:03,-41.37,
-60602-01-15 07:54:29,,202.56
-60392-08-25 23:44:08,-41.01,
-60156-06-14 02:23:13,-41.56,
-59951-04-30 22:06:27,,206.38
-59920-04-01 05:02:18,-38.39,
-59684-01-20 07:41:22,-39.86,
-59605-12-10 12:28:19,,210.9
-59407-06-13 12:09:08,-41.01,
-59285-03-19 09:30:55,,210.57
-59130-11-06 16:36:53,-41.45,
-59111-03-02 22:18:17,,207.95
-58868-06-06 17:55:10,,213.78
-58852-04-01 21:04:39,-41.68,
-58575-08-26 01:32:24,-42.06,
-58567-06-02 23:54:19,,217.25
-58424-12-27 19:38:41,,212.87
-58297-01-19 06:00:09,-41.23,
-58160-03-03 06:14:59,,216.66
-58040-01-19 11:53:05,-41.22,
-57784-07-31 01:50:05,,223.45
-57783-01-18 17:46:00,-41.01,
-57526-01-17 23:38:56,-40.92,
-57431-08-21 11:41:30,,226.35
-57269-01-19 05:31:51,-41.16,
-57156-12-23 06:34:47,,231.29
-57012-01-18 11:24:47,-40.47,
-56772-11-05 19:07:41,-41.06,
-56531-08-25 02:50:36,-41.22,
-56484-09-23 17:18:31,,223.15
-56290-06-13 10:33:31,-39.23,
-56267-01-14 06:16:08,,224.35
-56049-04-01 18:16:25,-38.69,
-55894-04-30 12:31:05,,223.72
-55808-01-18 01:59:20,-38.42,
-55590-08-25 00:39:38,-37.27,
-55527-10-10 18:25:15,,217.38
-55371-03-31 23:19:56,-38.01,
-55261-02-09 11:31:24,,215.7
-55153-11-05 22:00:14,-39.21,
-54934-06-12 20:40:32,-39.74,
-54715-01-16 19:20:50,-38.72,
-54554-06-20 04:50:41,,212.44
-54502-08-24 12:57:18,-37.68,
-54288-03-31 06:33:47,-37.39,
-54288-11-30 23:39:27,,207.67
-54075-11-06 00:10:15,-38.09,
-53960-07-03 16:15:47,,210.27
-53861-06-12 17:46:43,-38.53,
-53647-01-17 11:23:11,-38.6,
-53604-11-30 15:35:34,,214.78
-53394-03-31 19:10:48,-38.85,
-53344-08-02 02:11:41,,208.19
-53141-07-18 15:33:17,-39.16,
-53065-07-22 16:59:01,,216.86
-52888-09-29 23:20:54,-38.63,
-52745-06-08 09:10:21,,213.89
-52634-01-16 19:43:23,-39.12,
-52438-12-01 01:17:00,,217.96
-52381-03-31 03:31:00,-40.17,
-52207-06-11 08:06:05,,220.37
-52103-02-21 22:53:08,-40.28,
-51857-10-17 22:36:20,,221.14
-51826-12-11 05:40:24,-39.32,
-51548-11-04 01:02:33,-37.8,
-51451-08-05 05:25:41,,223.26
-51270-09-29 20:24:41,-38.29,
-51159-10-16 23:55:10,,223.72
-50992-07-18 03:11:57,-40.48,
-50851-04-21 15:00:17,,221.15
-50790-03-30 11:38:06,-38.07,
-50624-05-12 12:27:09,,220.72
-50589-12-11 20:04:15,-40.29,
-50435-04-06 18:29:05,,219.08
-50387-08-23 04:30:24,-40.33,
-50185-05-06 12:56:33,-39.2,
-50137-03-23 08:03:29,,213.82
-49983-01-15 21:22:42,-37.22,
-49830-07-06 14:39:51,,215.08
-49821-08-23 06:32:05,-37.43,
-49658-02-22 03:06:36,-36.79,
-49496-09-28 12:16:00,-37.37,
-49482-08-05 02:46:25,,211.57
-49333-03-30 08:50:31,-37.11,
-49171-11-03 17:59:54,-37.14,
-49080-11-14 17:56:06,,207.64
-49008-05-04 14:34:25,-37.76,
-48846-12-10 23:43:49,-37.77,
-48683-06-10 20:18:19,-37.59,
-48578-08-19 16:09:03,,207.41
-48520-01-16 05:27:43,-37.28,
-48358-07-17 02:02:14,-37.93,
-48271-06-28 21:27:27,,206.74
-48057-07-14 08:01:23,,204.38
-48052-01-16 13:50:19,-38.07,
-47934-01-15 03:44:44,-38.0,
-47818-01-15 06:01:37,-38.11,
-47779-09-21 01:28:40,,203.87
-47702-01-15 08:18:30,-38.05,
-47591-01-15 05:31:33,-38.3,
-47513-05-19 07:17:54,,204.06
-47482-01-15 15:07:04,-38.26,
-47370-01-15 18:08:54,-38.85,
-47353-01-23 04:16:54,,200.12
-47240-01-16 05:48:30,-38.24,
-47107-01-14 10:54:25,-39.27,
-47038-02-02 10:16:43,,201.58
-46976-01-16 04:22:48,-38.91,
-46845-01-15 21:51:10,-38.83,
-46721-01-14 22:38:11,-39.25,
-46582-01-15 14:36:42,-39.43,
-46478-03-07 22:21:13,,200.98
-46450-01-15 13:53:50,-39.46,
-46329-01-14 21:14:33,-39.05,
-46274-11-10 16:54:41,,206.18
-46201-01-14 21:16:38,-39.2,
-46071-01-15 08:56:15,-39.38,
-45994-04-16 07:58:26,,205.66
-45942-01-14 14:47:05,-39.73,
-45817-01-14 21:22:52,-39.44,
-45761-08-26 06:02:32,,203.79
-45699-01-15 11:17:17,-39.77,
-45579-01-14 12:49:14,-39.4,
-45575-09-05 06:11:31,,204.26
-45441-01-14 22:58:59,-39.48,
-45365-01-22 16:04:11,,207.6
-45295-01-15 07:38:51,-40.74,
-45196-01-15 07:06:42,-38.83,
-45137-10-04 13:27:02,,210.27
-45076-01-15 08:38:39,-39.33,
-44961-01-15 05:06:46,-38.44,
-44938-02-05 16:45:19,,210.84
-44838-01-15 00:05:01,-38.97,
-44797-08-07 11:15:45,,214.18
-44714-01-14 00:52:02,-39.62,
-44686-02-20 08:12:22,,216.42
-44581-01-15 05:57:57,-39.55,
-44413-01-14 22:30:40,-40.68,
-44359-06-27 09:01:00,,218.35
-44244-01-14 20:52:10,-41.19,
-44232-10-11 01:19:27,,219.25
-44108-09-15 12:30:03,,221.77
-44074-01-15 01:02:26,-40.55,
-43928-12-04 11:16:42,,222.72
-43909-01-14 00:08:52,-40.85,
-43771-01-14 10:18:36,-40.28,
-43747-12-23 13:40:50,,217.51
-43635-01-14 08:50:49,-41.0,
-43512-01-14 03:49:04,-40.93,
-43511-09-18 18:22:59,,214.5
-43410-01-13 20:43:13,-38.85,
-43333-01-14 12:18:13,-36.79,
-43331-08-24 19:04:30,,213.92
-43247-01-14 08:12:07,-36.91,
-43192-01-07 08:35:17,,207.95
-43157-01-14 03:21:05,-36.81,
-43078-01-14 06:33:37,-37.27,
-43047-11-16 14:02:20,,211.49
-42991-01-14 08:16:16,-37.27,
-42900-01-14 09:14:00,-37.52,
-42866-01-10 23:12:34,,210.44
-42811-01-13 22:34:12,-37.69,
